,Customer_ID,Churn,Gender,Senior_Citizen,Partner,Dependents,Tenure,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Charges_Monthly,Charges_Total,Charges_Daily,Gasto_Rango,Tenure_Rango,Daily_Range
59,0100-DUVFC,0,Male,Senior,1,0,70,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,3.493333333333333,Alto Gasto,46+ Meses,Alto Costo/Día
60,0103-CSITQ,0,Female,No Senior,1,0,57,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,3.646666666666667,Alto Gasto,46+ Meses,Alto Costo/Día
61,0104-PPXDV,0,Male,No Senior,1,0,58,1,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,1.6766666666666665,Alto Gasto,46+ Meses,Bajo Costo/Día
62,0106-GHRQR,0,Male,No Senior,0,0,16,1,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.3800000000000003,Gasto Medio,13-45 Meses,Costo/Día Medio
63,0106-UGRDO,0,Female,No Senior,1,0,69,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,3.8666666666666667,Alto Gasto,46+ Meses,Alto Costo/Día
64,0107-WESLM,1,Male,No Senior,0,0,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,0.6616666666666667,Bajo Gasto,0-12 Meses,Bajo Costo/Día
65,0107-YHINA,1,Male,No Senior,0,1,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,3.325,Bajo Gasto,0-12 Meses,Alto Costo/Día
66,0111-KLBQG,0,Male,Senior,1,1,32,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,3.131666666666667,Alto Gasto,13-45 Meses,Alto Costo/Día
67,0112-QAWRZ,0,Male,No Senior,1,1,16,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,3.0266666666666664,Gasto Medio,13-45 Meses,Alto Costo/Día
68,0112-QWPNC,1,Male,No Senior,1,0,49,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,2.8116666666666665,Alto Gasto,46+ Meses,Alto Costo/Día
69,0114-IGABW,0,Female,No Senior,1,0,71,0,No phone service,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,1.9416666666666667,Alto Gasto,46+ Meses,Costo/Día Medio
70,0114-PEGZZ,0,Female,No Senior,0,0,33,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,3.585,Alto Gasto,13-45 Meses,Alto Costo/Día
71,0114-RSRRW,0,Female,No Senior,1,0,10,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0.6649999999999999,Bajo Gasto,0-12 Meses,Bajo Costo/Día
72,0115-TFERT,1,Male,No Senior,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,3.7066666666666666,Gasto Medio,13-45 Meses,Alto Costo/Día
73,0117-LFRMW,1,Male,No Senior,1,1,37,0,No phone service,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.34,Gasto Medio,13-45 Meses,Bajo Costo/Día
74,0118-JPNOY,0,Female,Senior,0,0,26,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,2.86,Gasto Medio,13-45 Meses,Alto Costo/Día
75,0120-YZLQA,0,Male,No Senior,0,0,71,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.9,1355.1,0.6633333333333333,Gasto Medio,46+ Meses,Bajo Costo/Día
76,0121-SNYRK,0,Male,No Senior,0,0,50,0,No phone service,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,1.18,Gasto Medio,46+ Meses,Bajo Costo/Día
77,0122-OAHPZ,1,Female,No Senior,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,2.4616666666666664,Bajo Gasto,0-12 Meses,Costo/Día Medio
78,0123-CRBRT,0,Female,No Senior,1,1,61,1,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,2.9366666666666665,Alto Gasto,46+ Meses,Alto Costo/Día
79,0125-LZQXK,1,Male,No Senior,0,0,15,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,3.378333333333333,Gasto Medio,13-45 Meses,Alto Costo/Día
80,0128-MKWSG,0,Female,No Senior,0,1,26,0,No phone service,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,1.5266666666666666,Gasto Medio,13-45 Meses,Bajo Costo/Día
81,0129-KPTWJ,0,Male,No Senior,1,0,72,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,3.1550000000000002,Alto Gasto,46+ Meses,Alto Costo/Día
82,0129-QMPDR,0,Male,No Senior,1,1,44,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,865.05,0.6833333333333333,Gasto Medio,13-45 Meses,Bajo Costo/Día
83,0130-SXOUN,0,Male,No Senior,0,0,66,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,2.98,Alto Gasto,46+ Meses,Alto Costo/Día
84,0133-BMFZO,1,Female,No Senior,0,0,2,1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,2.875,Bajo Gasto,0-12 Meses,Alto Costo/Día
85,0134-XWXCE,0,Female,Senior,0,0,44,1,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,2.4949999999999997,Alto Gasto,13-45 Meses,Costo/Día Medio
86,0135-NMXAP,1,Female,No Senior,0,0,12,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,2.9916666666666667,Gasto Medio,0-12 Meses,Alto Costo/Día
87,0136-IFMYD,0,Male,Senior,1,0,69,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,3.665,Alto Gasto,46+ Meses,Alto Costo/Día
88,0137-OCGAB,1,Female,No Senior,0,0,1,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,2.6733333333333333,Bajo Gasto,0-12 Meses,Costo/Día Medio
89,0137-UDEUO,1,Female,No Senior,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75,0.6616666666666667,Bajo Gasto,0-12 Meses,Bajo Costo/Día
90,0139-IVFJG,0,Female,No Senior,1,0,2,1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,3.0116666666666663,Bajo Gasto,0-12 Meses,Alto Costo/Día
91,0141-YEAYS,0,Female,Senior,0,0,27,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,2.881666666666667,Gasto Medio,13-45 Meses,Alto Costo/Día
92,0142-GVYSN,0,Male,No Senior,0,0,26,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25,0.6766666666666666,Bajo Gasto,13-45 Meses,Bajo Costo/Día
93,0147-ESWWR,0,Female,Senior,1,0,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,3.375,Alto Gasto,13-45 Meses,Alto Costo/Día
94,0148-DCDOS,1,Male,No Senior,0,0,25,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,3.1566666666666667,Gasto Medio,13-45 Meses,Alto Costo/Día
95,0151-ONTOV,1,Female,No Senior,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,2.3633333333333337,Bajo Gasto,0-12 Meses,Costo/Día Medio
96,0154-QYHJU,0,Male,No Senior,0,0,29,1,0,DSL,1,1,0,1,0,0,One year,1,Electronic check,58.75,1696.2,1.9583333333333333,Gasto Medio,13-45 Meses,Costo/Día Medio
97,0156-FVPTA,1,Male,No Senior,1,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,1.8066666666666669,Gasto Medio,13-45 Meses,Costo/Día Medio
98,0162-RZGMZ,0,Female,Senior,0,0,5,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287.85,1.9966666666666666,Bajo Gasto,0-12 Meses,Costo/Día Medio
99,0164-APGRB,0,Female,No Senior,0,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,3.83,Alto Gasto,46+ Meses,Alto Costo/Día
100,0164-XAIRP,0,Female,No Senior,0,0,24,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,470.2,0.6516666666666667,Bajo Gasto,13-45 Meses,Bajo Costo/Día
101,0168-XZKBB,0,Female,No Senior,1,0,19,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,2.895,Gasto Medio,13-45 Meses,Alto Costo/Día
102,0174-QRVVY,0,Male,No Senior,1,1,71,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,1847.55,0.8450000000000001,Gasto Medio,46+ Meses,Bajo Costo/Día
103,0177-PXBAT,0,Male,Senior,1,0,33,1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,3.6633333333333336,Alto Gasto,13-45 Meses,Alto Costo/Día
104,0178-CIIKR,0,Female,No Senior,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,58.0,0.6649999999999999,Bajo Gasto,0-12 Meses,Bajo Costo/Día
105,0178-SZBHO,0,Male,No Senior,1,1,47,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,2.9066666666666667,Alto Gasto,13-45 Meses,Alto Costo/Día
106,0181-RITDD,0,Male,No Senior,1,1,62,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,3.605,Alto Gasto,46+ Meses,Alto Costo/Día
107,0186-CAERR,0,Male,No Senior,0,0,71,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,3.8766666666666665,Alto Gasto,46+ Meses,Alto Costo/Día
108,0187-QSXOE,0,Male,Senior,1,0,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,2.966666666666667,Bajo Gasto,0-12 Meses,Alto Costo/Día
109,0187-WZNAB,0,Female,No Senior,1,1,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,2.48,Gasto Medio,13-45 Meses,Costo/Día Medio
110,0188-GWFLE,0,Male,No Senior,0,0,2,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,33.7,0.6683333333333333,Bajo Gasto,0-12 Meses,Bajo Costo/Día
111,0191-EQUUH,0,Female,No Senior,0,1,25,0,No phone service,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,1.1683333333333332,Gasto Medio,13-45 Meses,Bajo Costo/Día
112,0191-ZHSKZ,0,Male,Senior,0,0,30,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,2.4916666666666667,Gasto Medio,13-45 Meses,Costo/Día Medio
113,0193-ESZXP,1,Female,Senior,1,0,58,1,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,3.5166666666666666,Alto Gasto,46+ Meses,Alto Costo/Día
114,0195-IESCP,1,Male,No Senior,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,2.841666666666667,Gasto Medio,0-12 Meses,Alto Costo/Día
115,0196-JTUQI,0,Female,No Senior,0,0,9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,2.506666666666667,Bajo Gasto,0-12 Meses,Costo/Día Medio
116,0196-VULGZ,1,Female,Senior,1,0,6,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,2.8116666666666665,Bajo Gasto,0-12 Meses,Alto Costo/Día
117,0197-PNKNK,0,Female,No Senior,1,1,69,1,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,2.815,Alto Gasto,46+ Meses,Alto Costo/Día
118,0201-MIBOL,0,Female,Senior,0,0,66,1,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,3.4133333333333336,Alto Gasto,46+ Meses,Alto Costo/Día
119,0201-OAMXR,1,Female,No Senior,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,3.8516666666666666,Alto Gasto,46+ Meses,Alto Costo/Día
120,0203-HHYIJ,1,Male,No Senior,0,0,25,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,676.35,0.8433333333333334,Gasto Medio,13-45 Meses,Bajo Costo/Día
121,0206-OYVOC,0,Female,No Senior,1,1,46,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,864.2,0.6416666666666667,Gasto Medio,13-45 Meses,Bajo Costo/Día
122,0206-TBWLC,0,Female,No Senior,1,0,54,1,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049.5,3.8216666666666668,Alto Gasto,46+ Meses,Alto Costo/Día
123,0207-MDKNV,1,Female,No Senior,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,3.503333333333333,Gasto Medio,13-45 Meses,Alto Costo/Día
